"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00221880","COLUMBUS, MS US","2017-06-23",,,,,"0.50","0.0","0.0","90","77","77",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-24",,,,,"0.00","0.0","0.0","91","74","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-25",,,,,"0.00","0.0","0.0","80","64","64",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-26",,,,,"0.00","0.0","0.0","89","58","70",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-27",,,,,"0.00","0.0","0.0","90","64","69",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-28",,,,,"0.00","0.0","0.0","91","65","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-29",,,,,"0.09","0.0","0.0","88","75","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-06-30",,,,,"0.00","0.0","0.0","84","75","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-01",,,,,"0.20","0.0","0.0","96","74","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-02",,,,,"0.00","0.0","0.0","91","75","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-03",,,,,"0.00","0.0","0.0","96","73","80",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-04",,,,,"0.00","0.0","0.0","94","72","78",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-05",,,,,"0.00","0.0","0.0","96","77","78",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-06",,,,,"0.00","0.0","0.0","97","77","80",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-07",,,,,"0.00","0.0","0.0","92","77","77",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-08",,,,,"0.47","0.0","0.0","89","74","77",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-09",,,,,"0.00","0.0","0.0","92","73","73",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-10",,,,,"0.00","0.0","0.0","95","67","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-11",,,,,"0.00","0.0","0.0","96","72","80",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-12",,,,,"0.00","0.0","0.0","97","75","79",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-13",,,,,"0.00","0.0","0.0","97","74","78",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-14",,,,,"1.10","0.0","0.0","94","73","75",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-15",,,,,"0.31","0.0","0.0","92","75","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-16",,,,,"0.00","0.0","0.0","91","75","76",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-17",,,,,"0.00","0.0","0.0","95","74","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-18",,,,,"0.00","0.0","0.0","96","72","79",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-19",,,,,"0.00","0.0","0.0","98","74","81",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-07-20",,,,,"0.00","0.0","0.0","99","76","82",,,,,,,,
