Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-01 15:13:47,false,"Boise Running","5.03","438","00:38:13","137","163","175","199","7:36","6:42","187","200","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","38:12.58","1","77.0","00:38:00","00:57:10","2,650","2,881"
Running,2021-11-01 07:56:02,false,"Boise Running","10.08","994","01:18:23","147","165","173","188","7:47","6:48","623","646","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","50.0","0:00","No","01:18:23.29","1","77.0","01:18:09","01:21:54","2,581","3,173"
Running,2021-10-30 08:01:56,false,"Gem County Running","12.93","973","01:34:05","135","159","175","188","7:16","5:57","148","197","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","50.0","0:00","No","01:34:05.00","1","78.8","01:33:51","01:44:38","2,579","2,649"
Running,2021-10-29 08:26:40,false,"Boise Running","9.42","892","01:09:30","147","167","175","190","7:23","5:27","233","177","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","01:09:29.55","1","75.2","01:08:57","01:14:47","2,462","2,539"
Running,2021-10-27 11:15:49,false,"Boise Running","7.15","560","00:49:45","139","159","176","186","6:58","6:08","92","128","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","49:44.52","1","75.2","00:49:41","00:52:15","2,517","2,618"
Running,2021-10-26 10:35:11,false,"Boise Running","7.12","618","00:49:13","146","181","175","186","6:55","6:10","69","105","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","49:12.92","1","69.8","00:49:12","00:50:55","2,563","2,638"
Running,2021-10-25 15:11:40,false,"Boise Running","4.82","437","00:35:39","141","164","174","194","7:24","5:38","164","207","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","35:39.05","1","75.2","00:35:31","00:51:47","2,662","2,876"
Running,2021-10-25 08:27:21,false,"Boise Running","8.59","935","01:04:00","157","175","176","229","7:27","6:31","108","108","1.23","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","01:03:59.71","1","78.8","01:03:42","01:09:03","2,451","2,507"
Running,2021-10-24 09:30:55,false,"Boise Running","6.01","373","00:44:57","121","136","171","182","7:29","6:51","197","220","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","44:56.62","1","71.6","00:44:42","00:50:29","2,527","2,619"
Trail Running,2021-10-23 09:25:44,false,"Ada County Trail Running","13.22","1,384","01:45:26","151","175","168","211","7:59","2:08","1,929","2,018","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","50.0","0:00","No","01:25.30","14","75.2","01:43:49","01:55:34","3,443","4,550"
Running,2021-10-22 14:34:07,false,"Boise Running","8.42","749","01:04:35","143","167","157","215","7:40","3:35","115","276","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","51.8","0:00","No","00:43.53","27","77.0","01:01:52","01:25:39","2,522","2,762"
Running,2021-10-22 09:00:17,false,"Boise Running","4.01","355","00:29:39","137","154","174","184","7:24","6:47","49","52","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","29:38.79","1","73.4","00:29:30","00:30:29","2,596","2,635"
Running,2021-10-21 10:56:25,false,"Boise Running","9.76","833","01:11:58","142","165","174","186","7:22","5:51","299","203","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","68.0","0:00","No","01:11:58.01","1","78.8","01:11:56","01:15:22","2,609","2,765"
Running,2021-10-20 09:21:40,false,"Boise Running","12.54","1,225","01:32:24","151","172","175","203","7:22","5:42","997","1,109","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","01:32:23.69","1","73.4","01:32:13","01:41:43","2,543","3,480"
Running,2021-10-19 15:25:24,false,"Boise Running","7.21","614","00:44:36","150","165","165","198","6:11","4:27","200","207","1.54","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","68.0","0:00","No","00:38.87","9","78.8","00:44:28","00:48:38","2,701","2,766"
Running,2021-10-19 14:55:13,false,"Boise Running","2.71","238","00:18:58","137","153","176","182","7:00","6:28","33","36","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","04:54.30","3","80.6","00:18:57","00:20:09","2,720","2,765"
Running,2021-10-18 15:08:04,false,"Boise Running","4.02","362","00:30:47","136","165","171","188","7:39","6:33","190","167","1.23","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","00:09.00","5","77.0","00:30:41","00:49:27","2,692","2,890"
